bodyparts,RW,RW,RW,LW,LW,LW,RP,RP,RP,PP,PP,PP,LP,LP,LP,Nose,Nose,Nose,HB,HB,HB
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
49,439.8637695,342.5740051,1,436.3056946,677.7647705,1,417.9363403,436.539093,1,411.2493286,506.1263733,0.999999881,416.0171814,572.9094849,1,807.9269409,356.0801697,0.989423692,819.9241333,367.4603577,0.99999249
50,439.8637695,342.4163818,1,436.0317078,677.7735596,1,417.9186401,436.5093079,1,411.0445862,505.76828,0.999999881,415.8600159,573.0723267,1,807.9269409,351.1667175,0.845416129,819.9241333,364.0130005,0.99999547
51,440.0137939,342.403717,1,435.955719,677.8677368,1,417.8612976,436.5010376,1,411.2860413,505.76828,0.999999762,415.8600159,573.0723267,1,805.6732788,348.8434143,0.442433178,819.9241333,362.6774902,0.999987721
52,439.9551392,342.403717,1,435.955719,677.8677368,1,417.8612976,436.5010376,1,411.0445862,505.76828,0.999999762,416.0171814,573.0723267,1,805.6732788,350.0960999,0.946801901,819.5321655,360.6646118,0.999977469
53,439.9551392,342.403717,1,435.955719,677.8677368,1,417.8612976,436.5010376,1,411.0309753,505.76828,0.999999881,416.0171814,573.0723267,1,805.6732788,350.0960999,0.778291583,818.2218628,356.6426697,0.999997139
54,439.9551392,342.3589478,1,435.955719,677.8275757,1,417.8612976,436.5010376,1,410.9191284,505.9070435,1,416.0150146,573.1185913,1,815.2785034,348.9642639,0.160823196,818.2218628,353.1549377,0.999996305
55,439.4380188,342.3589478,1,436.0794373,677.8040161,1,418.0164795,436.2750549,0.999999881,411.0309753,505.9070435,0.999999881,416.0150146,573.2028809,1,825.6417236,348.8434143,0.039496735,819.2767944,353.129364,0.99999392
56,439.4380188,342.411499,0.999999881,436.1415405,677.6428833,1,418.0236816,436.5179749,1,411.0309753,505.9567871,0.999999881,415.7892761,573.2028809,1,926.2409668,334.7885742,0.012065442,819.5321655,353.129364,0.999996543
57,439.4380188,342.411499,0.999999881,436.0794373,677.6625977,1,418.0236816,436.5179749,1,411.0309753,505.9567871,0.999999881,415.7797546,573.2028809,1,926.2409668,334.7885742,0.003701282,824.1610107,353.1549377,0.99998951
58,439.4380188,342.3493347,0.999999762,436.0794373,677.6625977,1,418.0236816,436.428894,1,410.9178467,506.0949402,1,415.7703552,573.1605225,1,926.2409668,333.2919617,0.00245812,829.618042,354.7395935,0.999995947
59,439.2007141,341.8777466,0.999983311,436.1612549,677.6625977,1,418.0637207,436.428894,1,410.9178467,506.0949402,1,415.7703552,573.1089478,1,955.1403809,164.9794922,0.005452707,840.3977661,354.7395935,0.999991179
60,439.7670288,341.8777466,0.999988914,436.1612549,677.6993408,1,418.0686951,436.428894,1,410.9178467,506.0949402,1,415.76474,573.1088867,1,955.3455811,164.9794922,0.018039048,846.6448364,354.7395935,0.999996185
61,439.7869873,341.8777466,0.999987364,436.1819763,677.7126465,1,418.0686951,436.428894,1,410.9160767,506.0227051,1,415.76474,573.1000977,1,1090.085571,330.8348389,0.014465896,848.1480103,351.6038208,0.999928355
62,440.0170593,341.9520874,0.999982357,436.1819763,677.7126465,1,418.0873108,436.428894,1,410.9160767,506.0227051,1,415.76474,573.1000977,1,1088.200317,328.554718,0.499818981,848.1480103,345.8453674,0.999983907
63,440.8901062,342.5332642,0.999995828,436.0981445,677.7452393,1,418.0873108,436.572876,1,410.9759521,505.9469604,1,416.0898438,573.0841064,1,1088.200317,328.554718,0.845639467,850.8673706,341.046936,0.999986887
64,440.8901062,342.6955261,0.999976516,436.053772,677.7452393,1,418.0873108,436.5900574,1,410.9836731,506.0227051,1,416.0385132,573.0841064,1,1088.200317,328.554718,0.79039079,850.8673706,330.9465332,0.99997139
65,440.8901062,342.898407,0.999992371,436.0981445,677.6707153,1,418.1273804,436.5900574,1,410.9836731,506.0227051,0.999999881,416.0385132,573.1000977,1,1083.503174,327.1785583,0.09774214,851.6339722,328.6842957,0.999989152
66,440.4268188,343.3092346,0.999999404,436.0981445,677.6707153,1,418.1273804,436.5900574,1,410.9972229,506.0636292,0.999999881,416.0385132,573.111084,1,878.8771973,327.1785583,0.01234014,855.7123413,326.0184021,0.999941587
67,439.9510803,343.3012695,0.999999523,436.053772,677.7470703,1,418.209137,436.3930969,1,411.0253601,505.9779053,0.999999881,415.8191223,573.111084,1,878.8771973,327.1785583,0.011277649,857.2935791,325.9888916,0.99990952
68,439.9510803,343.3092346,0.999999762,436.2030945,677.65625,1,418.2118225,436.3930969,1,411.1493225,506.0884705,0.999999881,415.8092651,573.1184082,1,878.4364014,327.1785583,0.002064613,859.2557983,324.361145,0.999973774
69,439.9510803,343.3092346,0.999999523,436.2030945,677.7470703,1,418.2118225,436.3812256,1,411.1493225,506.0610657,0.999999881,415.8092651,573.1572876,1,878.4364014,327.1785583,0.010965688,860.3823242,322.2023926,0.999946713
70,440.1069031,343.3012695,0.999999166,436.1470032,677.8181763,1,418.209137,436.3812256,1,411.0307312,506.0610657,0.999999881,415.7570496,573.1184082,1,878.05896,304.8052979,0.002849597,860.9762573,322.2023926,0.999923825
71,440.1581116,342.7478027,0.999999762,436.1470032,677.8841553,1,418.2118225,436.3812256,1,411.0307312,506.0267334,0.999999881,415.7358704,573.1034546,1,878.05896,304.8052979,0.012792013,862.8865356,322.2023926,0.999975443
72,440.161438,342.5877075,1,436.2030945,677.8841553,1,418.2394714,436.4202271,1,410.9919739,506.0610657,0.999999881,415.7284241,573.1184082,1,878.05896,304.8052979,0.24283722,864.0317993,326.8302917,0.999963164
73,440.161438,342.4889832,1,436.2254944,677.8952026,1,418.2371826,436.3812256,1,410.9919739,506.0267334,0.999999881,415.7358704,573.1034546,1,891.1416016,310.6896362,0.270577967,864.0871582,329.1171875,0.999696016
74,440.161438,342.3091431,1,436.2254944,677.8991089,1,418.2371826,436.3250427,1,410.9703369,505.7918396,0.999999881,415.7358704,573.1034546,1,896.1900024,312.1984253,0.998814702,864.0871582,331.2964172,0.999933243
75,440.161438,342.3091431,1,436.2408142,677.8952026,1,418.2371826,436.2736511,1,410.9703369,505.7918396,0.999999881,415.7358704,573.1360474,1,898.8577271,318.9269409,0.999833703,864.7991333,333.0597839,0.999924183
76,440.161438,342.3091431,1,436.2408142,677.8317871,1,418.2371826,436.0555725,1,411.0789185,505.6754761,0.999999881,415.7571411,573.1360474,1,903.7183838,321.8308411,0.99998486,866.34552,335.4614868,0.999992013
77,440.046875,342.3273621,1,436.1645203,677.8991089,1,418.1932983,436.0555725,1,411.2725525,505.6754761,0.999999881,415.7571411,573.0862427,1,909.9922485,326.9655457,0.999996901,869.3347778,335.4614868,0.999994636
78,440.0392761,342.4048157,1,436.125,677.8277588,1,418.1932983,436.2736511,1,411.2725525,505.8628235,0.999999881,415.7201538,573.1356812,1,915.4760132,332.5869446,0.999998808,875.9685059,335.4614868,0.999943376
79,439.9595032,342.4048157,1,436.125,677.8277588,1,418.1932983,436.4367676,1,411.4052124,505.9580078,1,415.7201538,573.1356812,1,921.2495728,333.7819214,0.999989152,886.2674561,332.407196,0.995428681
80,439.9595032,342.3609009,1,436.1029053,677.9153442,1,418.1932983,436.4367676,1,411.2725525,506.0185547,1,415.6467285,573.1247559,1,926.2964478,338.4681396,0.999997258,894.9447021,327.3302307,0.984003842
81,439.9299011,342.3273621,1,436.125,678.0278931,1,418.1932983,436.4367676,1,411.2549744,506.0617676,0.999999881,415.6467285,573.1247559,1,929.2246704,340.8663635,0.999996901,910.0325317,322.73703,0.99986136
82,439.9595032,342.2620544,0.999999881,436.1029053,677.9153442,1,418.0915833,436.4865723,1,411.0411072,506.0617676,0.999999881,415.8339539,573.1356812,1,930.6899414,343.0348206,0.999996424,913.1399536,321.5704956,0.99998951
