,MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,FR_Count_Right,FR_Count_Left,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,RPR_Right,RPR_Count_Right,RPR_Left,RPR_Count_Left,synced_time
26,8/26/2026 18:55:37,56107,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Right,Left,7,7,3,0,,,0.08,3,0,4,1,2026-08-26 18:55:37.107
27,8/26/2026 18:55:37,56310,1.16.3,Barbosa-48h,0,4.21,,1,0,2,RightEarly,Left,7,7,3,0,,,,3,0,4,1,2026-08-26 18:55:37.310
28,8/26/2026 18:55:38,56527,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,7,7,3,0,,,,3,0,2,0,2026-08-26 18:55:38.527
29,8/26/2026 18:55:38,56995,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,8,7,3,0,,,0.0,3,0,2,0,2026-08-26 18:55:38.995
30,8/26/2026 18:55:39,57532,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Right,Left,8,8,3,0,,,0.07,3,0,2,1,2026-08-26 18:55:39.532
31,8/26/2026 18:55:39,57731,1.16.3,Barbosa-48h,0,4.2,,1,0,2,RightEarly,Left,8,8,3,0,,,,3,0,2,1,2026-08-26 18:55:39.731
32,8/26/2026 18:55:39,57953,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,8,8,3,0,,,,3,0,2,0,2026-08-26 18:55:39.953
33,8/26/2026 18:55:40,58421,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,9,8,3,0,,,0.0,3,0,2,0,2026-08-26 18:55:40.421
34,8/26/2026 18:55:40,58887,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Right,Left,9,9,3,0,,,0.0,3,0,2,1,2026-08-26 18:55:40.887
35,8/26/2026 18:55:40,59086,1.16.3,Barbosa-48h,0,4.21,,1,0,2,RightEarly,Left,9,9,3,0,,,,3,0,2,1,2026-08-26 18:55:40.086
36,8/26/2026 18:55:40,59302,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,9,9,3,0,,,,3,0,3,0,2026-08-26 18:55:40.302
37,8/26/2026 18:55:41,59775,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,10,9,3,0,,,0.0,3,0,3,0,2026-08-26 18:55:41.775
38,8/26/2026 18:55:42,60584,1.16.3,Barbosa-48h,0,4.21,,1,0,2,Right,Left,10,10,3,0,,,0.09,3,0,3,1,2026-08-26 18:55:42.584
39,8/26/2026 18:55:42,60784,1.16.3,Barbosa-48h,0,4.2,,1,0,2,RightEarly,Left,10,10,3,0,,,,3,0,3,1,2026-08-26 18:55:42.784
40,8/26/2026 18:55:42,61000,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,10,10,3,0,,,,3,0,2,0,2026-08-26 18:55:42.000
41,8/26/2026 18:55:43,61468,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,11,10,3,0,,,0.0,3,0,2,0,2026-08-26 18:55:43.468
42,8/26/2026 18:55:43,62016,1.16.3,Barbosa-48h,0,4.21,,1,0,2,Right,Left,11,11,3,0,,,0.08,3,0,2,1,2026-08-26 18:55:43.016
43,8/26/2026 18:55:43,62216,1.16.3,Barbosa-48h,0,4.2,,1,0,2,RightEarly,Left,11,11,3,0,,,,3,0,2,1,2026-08-26 18:55:43.216
44,8/26/2026 18:55:44,62432,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,11,11,3,0,,,,3,0,3,0,2026-08-26 18:55:44.432
45,8/26/2026 18:55:44,62899,1.16.3,Barbosa-48h,0,4.21,,1,0,2,Left,Left,12,11,3,0,,,0.0,3,0,3,0,2026-08-26 18:55:44.899
46,8/26/2026 18:55:45,63440,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Right,Left,12,12,3,0,,,0.07,3,0,3,1,2026-08-26 18:55:45.440
47,8/26/2026 18:55:45,63644,1.16.3,Barbosa-48h,0,4.2,,1,0,2,RightEarly,Left,12,12,3,0,,,,3,0,3,1,2026-08-26 18:55:45.644
48,8/26/2026 18:55:45,63860,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Redraw,Left,12,12,3,0,,,,3,0,1,0,2026-08-26 18:55:45.860
49,8/26/2026 18:55:46,64741,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Left,Left,13,12,3,0,,,0.06,3,0,1,0,2026-08-26 18:55:46.741
50,8/26/2026 18:55:48,66666,1.16.3,Barbosa-48h,0,4.2,,1,0,2,Right,Left,13,13,3,0,,,0.09,3,0,1,1,2026-08-26 18:55:48.666
51,8/26/2026 18:55:52,70853,1.16.3,Barbosa-48h,0,4.2,2.0,1,0,3,Pellet,Left,13,13,4,0,0.42,20.0,,3,0,1,1,2026-08-26 18:55:52.853
52,8/26/2026 18:55:52,71221,1.16.3,Barbosa-48h,0,4.2,,1,0,3,Redraw,Left,13,13,4,0,,,,3,0,1,0,2026-08-26 18:55:52.221
53,8/26/2026 18:55:54,72966,1.16.3,Barbosa-48h,0,4.2,,1,0,3,Left,Left,14,13,4,0,,,0.05,3,0,1,0,2026-08-26 18:55:54.966
54,8/26/2026 18:56:00,78517,1.16.3,Barbosa-48h,0,4.2,,1,0,3,SwitchTimeout,Left,14,13,4,0,,,,3,0,1,1,2026-08-26 18:56:00.517
55,8/26/2026 18:56:00,78733,1.16.3,Barbosa-48h,0,4.2,,1,0,3,Redraw,Left,14,13,4,0,,,,3,0,1,0,2026-08-26 18:56:00.733
56,8/26/2026 18:56:11,90100,1.16.3,Barbosa-48h,0,4.2,,1,0,3,PeriodEnd,Left,14,13,4,0,,,,3,0,1,0,2026-08-26 18:56:11.100
